VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
2,2021-09-01 06:04:34,2021-09-01 06:15:28,2.0,4.9,1.0,N,87,229,1,16.0,0.5,0.5,2.0,0.0,0.3,21.8,2.5,0.0
2,2021-09-01 06:26:31,2021-09-01 06:32:39,1.0,1.13,1.0,N,162,229,1,6.0,0.5,0.5,1.96,0.0,0.3,11.76,2.5,0.0
2,2021-09-01 06:36:15,2021-09-01 06:40:30,2.0,1.37,1.0,N,141,262,1,6.0,0.5,0.5,1.96,0.0,0.3,11.76,2.5,0.0
1,2021-09-01 00:00:15,2021-09-01 00:18:34,2.0,6.5,1.0,N,90,260,2,21.0,3.0,0.5,0.0,6.55,0.3,31.35,2.5,0.0
2,2021-09-01 00:44:54,2021-09-01 00:56:33,1.0,2.32,1.0,N,75,238,2,10.5,0.5,0.5,0.0,0.0,0.3,11.8,0.0,0.0
1,2021-09-01 00:15:08,2021-09-01 00:21:39,1.0,1.6,1.0,N,239,263,1,7.5,3.0,0.5,2.8,0.0,0.3,14.1,2.5,0.0
1,2021-09-01 00:35:36,2021-09-01 00:57:56,1.0,7.6,1.0,N,137,42,1,25.5,3.0,0.5,5.85,0.0,0.3,35.15,2.5,0.0
2,2021-09-01 00:34:09,2021-09-01 00:42:25,1.0,1.24,1.0,N,45,232,1,7.5,0.5,0.5,1.0,0.0,0.3,12.3,2.5,0.0
1,2021-09-01 00:21:51,2021-09-01 00:49:19,1.0,11.2,1.0,N,93,113,1,33.5,3.0,0.5,10.95,6.55,0.3,54.8,2.5,0.0
2,2021-09-01 00:38:43,2021-09-01 01:01:29,1.0,5.53,1.0,N,90,49,2,20.5,0.5,0.5,0.0,0.0,0.3,24.3,2.5,0.0
2,2021-09-01 00:56:22,2021-09-01 01:21:37,1.0,6.14,1.0,N,181,149,1,21.5,0.5,0.5,4.56,0.0,0.3,27.36,0.0,0.0
2,2021-09-01 00:05:12,2021-09-01 00:11:44,1.0,0.92,1.0,N,234,107,1,6.0,0.5,0.5,1.96,0.0,0.3,11.76,2.5,0.0
2,2021-09-01 00:15:13,2021-09-01 00:18:50,1.0,1.38,1.0,N,137,229,1,5.5,0.5,0.5,1.86,0.0,0.3,11.16,2.5,0.0
2,2021-09-01 00:22:00,2021-09-01 00:28:02,1.0,1.36,1.0,N,233,140,1,6.5,0.5,0.5,2.06,0.0,0.3,12.36,2.5,0.0
1,2021-09-01 00:26:55,2021-09-01 01:04:15,2.0,18.9,2.0,N,132,48,2,52.0,3.75,0.5,0.0,6.55,0.3,63.1,2.5,1.25
2,2021-09-01 00:32:59,2021-09-01 00:40:29,1.0,1.51,1.0,N,148,79,1,7.5,0.5,0.5,2.82,0.0,0.3,14.12,2.5,0.0
2,2021-09-01 00:42:50,2021-09-01 00:50:40,1.0,1.09,1.0,N,79,144,2,6.5,0.5,0.5,0.0,0.0,0.3,10.3,2.5,0.0
2,2021-09-01 00:13:30,2021-09-01 00:20:35,1.0,1.66,1.0,N,163,140,1,7.5,0.5,0.5,2.26,0.0,0.3,13.56,2.5,0.0
2,2021-09-01 00:47:29,2021-09-01 01:15:05,1.0,11.61,1.0,N,140,171,2,35.0,0.5,0.5,0.0,0.0,0.3,38.8,2.5,0.0
2,2021-09-01 00:07:03,2021-09-01 00:13:20,5.0,2.06,1.0,N,229,263,2,8.0,0.5,0.5,0.0,0.0,0.3,11.8,2.5,0.0
2,2021-09-01 00:15:59,2021-09-01 00:32:44,5.0,4.11,1.0,N,263,90,1,15.5,0.5,0.5,3.86,0.0,0.3,23.16,2.5,0.0
2,2021-09-01 00:50:18,2021-09-01 01:19:45,5.0,9.79,1.0,N,249,168,1,30.5,0.5,0.5,6.86,0.0,0.3,41.16,2.5,0.0
2,2021-09-01 00:37:44,2021-09-01 00:54:03,2.0,10.98,1.0,N,138,243,1,30.0,0.5,0.5,9.67,6.12,0.3,48.34,0.0,1.25
2,2021-09-01 00:58:22,2021-09-01 00:59:03,2.0,0.13,1.0,N,243,243,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8,0.0,0.0
2,2021-09-01 00:31:52,2021-09-01 00:51:48,1.0,4.37,1.0,N,107,262,1,18.5,0.5,0.5,2.0,0.0,0.3,24.3,2.5,0.0
1,2021-09-01 00:14:02,2021-09-01 00:23:48,2.0,2.9,1.0,N,170,148,1,10.5,3.0,0.5,2.85,0.0,0.3,17.15,2.5,0.0
1,2021-09-01 00:32:55,2021-09-01 00:39:50,1.0,2.8,1.0,N,137,262,1,9.5,3.0,0.5,3.0,0.0,0.3,16.3,2.5,0.0
1,2021-09-01 00:45:52,2021-09-01 00:56:31,2.0,2.6,1.0,Y,263,143,2,10.5,3.0,0.5,0.0,0.0,0.3,14.3,2.5,0.0
1,2021-09-01 00:00:44,2021-09-01 00:19:10,0.0,7.1,1.0,N,263,248,2,22.0,3.0,0.5,0.0,0.0,0.3,25.8,2.5,0.0
2,2021-09-01 00:42:32,2021-09-01 01:05:42,3.0,5.11,1.0,N,211,236,1,20.0,0.5,0.5,4.0,0.0,0.3,27.8,2.5,0.0
1,2021-09-01 00:50:58,2021-09-01 00:56:12,2.0,0.6,1.0,N,211,148,2,5.0,3.0,0.5,0.0,0.0,0.3,8.8,2.5,0.0
2,2021-09-01 00:02:24,2021-09-01 00:10:49,1.0,1.92,1.0,N,100,114,1,8.5,0.5,0.5,2.46,0.0,0.3,14.76,2.5,0.0
2,2021-09-01 00:36:58,2021-09-01 00:55:11,1.0,5.24,1.0,N,231,238,1,18.0,0.5,0.5,6.54,0.0,0.3,28.34,2.5,0.0
1,2021-09-01 00:03:11,2021-09-01 00:05:48,1.0,0.6,1.0,N,163,161,1,4.5,3.0,0.5,1.7,0.0,0.3,10.0,2.5,0.0
1,2021-09-01 00:09:31,2021-09-01 00:19:19,1.0,4.1,1.0,N,161,42,1,13.0,3.0,0.5,3.35,0.0,0.3,20.15,2.5,0.0
